source_page,extracted_table_index,column_1,column_2,column_3,column_4
7,1,315,Operation for Carcinoma Lip - Wedge-Excision,7245,8332
7,1,316,Operation for Carcinoma Lip - Vermilionectomy,5758,6622
7,1,317,Operation for Carcinoma Lip - Wedge Excision and Vermilionectomy,8400,9660
7,1,318,Estlander Operation (Estlander flap in plastic surgey of lips),6728,7737
7,1,319,Abbe Operation (Abbe flap in plastic surgery of lips),9800,11270
7,1,320,Cheek Advancement,8798,10118
7,1,321,Excision of the Maxilla,17388,19996
7,1,322,Excision of mandible-segmental,13973,16069
7,1,323,Mandibulectomy,18900,21735
7,1,324,Partial Glossectomy,4968,5713
7,1,325,Hemiglossectomy,7000,8050
7,1,326,Total Glossectomy,20597,23687
7,1,327,Combined Mandibulectomy and Neck Dissection Operation (Commando Operation,20000,23000
7,1,328,Parotidectomy - Superficial,12075,13886
7,1,329,Parotidectomy - Total,13500,15525
7,1,330,Parotidectomy - Radical,17595,20234
7,1,331,Repair of Parotid Duct,10350,11903
7,1,332,Removal of Submandibular Salivary gland,7763,8927
7,1,333,Hemithyroidectomy,8550,9833
7,1,334,Partial Thyroidectomy (lobectomy),10350,11903
7,1,335,Subtotal Thyroidectomy,12000,13800
7,1,336,Total Thyroidectomy,17100,19665
7,1,337,Resection Enucleation of thyroid Adenoma,10580,12167
7,1,338,Total Thyroidectomy and Block Dissection,23805,27376
7,1,339,Excision of Lingual Thyroid,15500,17825
7,1,340,Excision of Thyroglossal Cyst/Fistula,11903,13688
7,1,341,Excision of Parathyroid Adenoma/Carcinoma,19148,22020
7,1,342,Laryngectomy,16043,18449
7,1,343,Laryngo Pharyngectomy,27000,31050
7,1,344,Hyoid Suspension,9315,10712
7,1,345,Genioplasty,10800,12420
7,1,346,Direct Laryngoscopy including biopsy under GA,4658,5357
8,1,347,Phonosurgery,12420,14283
8,1,348,Fibreoptic examination of Larynx (FOL) under LA,1553,1786
8,1,349,Microlaryngeal Surgery,9315,10712
8,1,350,Laryngofissure,15525,17854
8,1,351,Tracheal Stenosis Excision,17802,20472
8,1,,Head and neck cancer,,
8,1,352,Excisional Biopsies,5175,5951
8,1,353,Benign Tumour Excisions,8550,9833
8,1,354,Temporal Bone subtotal resection,20700,23805
8,1,355,Modified Radical Neck Dissection,25300,29095
8,1,356,Carotid Body Excision,26000,29900
8,1,357,Total Laryngectomy,35273,40564
8,1,358,Flap Reconstructive Surgery,39000,44850
8,1,359,Parapharyngeal Tumour Excision,35397,40707
8,1,360,Other Major Surgery,21250,24438
8,1,361,Other Minor Surgery,5000,5750
8,1,,TREATMENT PROCEDURE BREAST,,
8,1,362,Drainage of abscess,5400,6210
8,1,363,Excision of lumps,6272,7213
8,1,364,Local mastectomy-simple,12650,14548
8,1,365,Radical mastectomy-formal or modified.,28750,33063
8,1,366,Excision of mammary fistula,13973,16069
8,1,367,Segmental resection of breast,14490,16664
8,1,368,Other Major Surgery,25000,28750
8,1,369,Other Minor Surgery,5000,5750
8,1,,TREATMENT PROCEDURE GENERAL SURGERY,,
8,1,370,Injury Of Superficial Soft Tissues,383,440
8,1,371,Suturing of small wounds,1060,1250
8,1,372,Secondary suture of wounds,3400,4000
8,1,373,Debridement of wounds,1275,1500
8,1,374,Removal Of Foreign Bodies - without C-ARM,1275,1500
8,1,,Biopsies,,
8,1,375,Excision of Cervical Lymph Node under LA,2635,3100
8,1,376,Excision of Axillary Lymph Node under GI Anaesthesia,6715,7900
8,1,377,Excision of Inguinal Lymph Node under LA,2550,3000
8,1,378,Excision Biopsy of Ulcers,1470,1691
8,1,379,Excision Biopsy of Superficial Lumps,2898,3333
8,1,380,Incision Biopsy of Growths/Ulcers,1470,1691
8,1,381,Trucut Needle Biopsy (including Needle),2975,3500
8,1,382,Percutaneous Kidney Biopsy,1323,1521
8,1,383,Marrow Biopsy (Open),1060,1219
8,1,384,Muscle Biopsy,1470,1691
8,1,385,Scalene Node Biopsy,1300,1495
8,1,386,Excision of Sebaceous Cysts,1242,1428
8,1,387,Excision of Superficial Lipoma,1932,2222
8,1,388,Excision of Superficial Neurofibroma,2250,2588
8,1,389,Excision of Dermoid Cysts,2277,2619
8,1,390,Haemorrhoidectomy,25500,30000
8,1,391,Stappler haemorrhoidectomy,37145,43700
8,1,392,keloid excision,1150,1323
8,1,393,Varicose vein surgery-Trendelenburg operation with suturing or ligation,19550,23000
8,1,,TREATMENT PROCEDURE OESOPHAGUS,,
9,1,394,Atresia of Oesophagus and Tracheo Oesophageal Fistula,28000,32200
9,1,395,Operations for Replacement of Oesophagus by Colon,25000,28750
9,1,396,Oesophagectomy for Carcinoma Easophagus,25000,28750
9,1,397,Oesophageal Intubation (Mausseau Barbin Tube),11500,13225
9,1,398,Achalasia Cardia Transthoracic,14950,17193
9,1,399,Achalasia Cardia Abdominal,12650,14548
9,1,400,Oesophago Gastrectomy for mid 1/3 lesion,24495,28169
9,1,401,Heller’s Operation,19750,22713
9,1,402,Colon-Inter position or Replacement of Oesophagus,22540,25921
9,1,403,Oesophago Gastrectomy – Lower Corringers procedure,21390,24599
9,1,404,Other Major Surgery,24863,28592
9,1,405,Other Minor Surgery,5000,5750
9,1,,TREATMENT PROCEDURE ABDOMEN / GI SURGERY,,
9,1,406,Gastroscopy,1725,1984
9,1,407,Gastric & Duodenal Biopsy (Endoscopic),1950,2243
9,1,408,Pyloromyotomy,2800,3220
9,1,409,Gastrostomy,8625,9919
9,1,410,Simple Closure of Perforated peptic Ulcer,9600,11040
9,1,411,Vagotomy Pyleroplasty / Gastro Jejunostomy,13800,15870
9,1,412,Duodenojejunostomy,18000,20700
9,1,413,Partial/Subtotal Gastrectomy for Carcinoma,23000,26450
9,1,414,Partial/Subtotal Gastrectomy for Ulcer,21600,24840
9,1,415,Operation for Bleeding Peptic Ulcer,20976,24122
9,1,416,Operation for Gastrojejunal Ulcer,19780,22747
9,1,417,Total Gastrectomy for Cancer,22368,25723
9,1,418,Highly Selective Vagotomy,18630,21425
9,1,419,Selective Vagotomy & Drainage,18630,21425
9,1,420,Congenital Diaphragmatic Hernia,34000,40000
9,1,421,Hiatus Hernia Repair- Abdominal,28050,33000
9,1,422,Hiatus Hernia Repair- Transthoracic,28050,33000
9,1,423,Exploratory Laparotomy (Open),21250,25000
9,1,424,Epigastric Hernia Repair,21250,25000
9,1,425,Umbilical Hernia Repair,11385,13093
9,1,426,Ventral /incisional Hernia Repair,10293,11837
9,1,427,Inguinal Hernia Herniorrhaphy,22100,26000
9,1,428,Inguinal Hernia - Hernioplasty,27200,32000
9,1,429,Femoral Hernia Repair,27200,32000
9,1,430,"Rare Hernias Repair (Spigalion, Obturator, Lumbar, Sciatic)",18975,21821
9,1,431,Splenectomy - For Trauma,18975,21821
9,1,432,Splenectomy - For Hypersplenism,14490,16664
9,1,433,Splenorenal Anastomosis,23000,26450
9,1,434,Portocaval Anastomosis,28750,33063
9,1,435,Direct Operation on Oesophagus for Portal Hypertension,22885,26318
9,1,436,Mesentericocaval Anastomosis,25450,29268
9,1,437,Warren Shunt (Distal Splenorenal Shunt),28000,32200
9,1,438,Pancreatico Duodenectomy (Whipple's procedure),21735,24995
9,1,439,By Pass Procedure for Inoperable Carcinoma of Pancreas,23000,26450
9,1,440,Cystojejunostomy or Cystogastrostomy,14490,16664
9,1,441,Cholecystectomy,20400,24000
9,1,442,Cholecystectomy & Exploration of CBD,28050,33000
9,1,443,Repair of Common Bile Duct (CBD),13600,15640
9,1,444,Operation for Hydatid Cyst of Liver,22950,27000
9,1,445,Cholecystostomy,10292,11836
10,1,446,Hepatic Resections (Lobectomy /Hepatectomy),28050,33000
