source_page,extracted_table_index,column_1,column_2,column_3,column_4
16,1,443,Repair of Common Bile Duct (CBD),13600,15640
16,1,444,Operation for Hydatid Cyst of Liver,22950,27000
16,1,445,Cholecystostomy,9850,11328
16,1,446,Hepatic Resections (Lobectomy /Hepatectomy),28050,33000
16,1,447,Operation on Adrenal Glands - Bilateral,23495,27019
16,1,448,Operation on Adrenal Glands - Unilateral,13200,15180
16,1,449,Appendicectomy,16150,19000
16,1,450,Appendicular Abscess – Drainage,8798,10118
16,1,451,Mesenteric Cyst- Excision,9936,11426
16,1,452,Peritonioscopy/Laparoscopy,4140,4761
16,1,453,Jejunostomy,5500,6325
16,1,454,Ileostomy,14300,16445
16,1,455,Resection & Anastomosis of Small Intestine icluding exp laparotomy,40375,47500
16,1,456,Duodenal Diverticulum,16560,19044
16,1,457,Operation for Intestinal Obstruction,9900,11385
16,1,458,Operation for Intestinal perforation,34200,39330
16,1,459,Benign Tumours of Small Intestine,17595,20234
16,1,460,Excision of Small Intestine Fistula,38250,45000
16,1,461,Operations for GI Bleed,16000,18400
16,1,462,Operations for Haemorrhage of Small Intestines,17595,20234
16,1,463,Operations of the Duplication of the Intestines incl exp laparotomy,34850,41000
16,1,464,Operations for Recurrent Intestinal Obstruction (Noble Plication & Other,20700,23805
16,1,465,OIlepoesriagtmioonisd foosrt oAmdyh easnido nrse)lated resection,15111,17378
16,1,466,Ileotransverse Colostomy and related resection,15111,17378
16,1,467,Caecostomy,3513,4040
16,1,468,Loop Colostomy Transverse Sigmoid,11799,13569
16,1,469,Terminal Colostomy,25500,30000
16,1,470,Closure of Colostomy,25500,30000
17,1,471,Right Hemicolectomy,27200,32000
17,1,472,Left Hemicolectomy,27200,32000
17,1,473,Total Colectomy,34000,40000
17,1,474,Operations for Volvulus of Large Bowel,22428,25792
17,1,475,Operations for Sigmoid Diverticulitis,16767,19282
17,1,476,Fissure in Ano with Internal sphinctrectomy with fissurectomy,27200,32000
17,1,477,fFiissssuurreec tionm Ayn.o - Fissurectomy,24650,29000
17,1,478,Rectal Polyp-Excision,11645,13700
17,1,479,Fistula in Ano - High Fistulectomy,29750,35000
17,1,480,Fistula in Ano - Low Fistulectomy,19550,23000
17,1,481,Prolapse Rectum - Thiersch Wiring,9315,10712
17,1,482,Prolapse Rectum - Rectopexy,11900,14000
17,1,483,Prolapse Rectum - Grahams Operation,deleted,deleted
17,1,484,Operations for Hirschsprungs Disease,12834,14759
17,1,485,Excision of Pilonidal Sinus (open),18700,22000
17,1,486,Excision of Pilonidal Sinus with closure,21250,25000
17,1,487,Abdomino-Perineal Excision of Rectum,16500,18975
17,1,488,Anterior Resection of rectum,19665,22615
17,1,489,Pull Through Abdominal Resection,15453,17771
