city,source_pdf,source_page,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_method,needs_manual_review,quality_status
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,Ea ie angiography,13225,11240,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,esa ‘AVI /TAVR Implant,1284000,1284000,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,6,9/Permanent pacemaker,36550,43000,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,7,Peripheral Angioplasty,46750,55500,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,7,PDA -,46750,55000,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,7,ibs ines tilt test (HUTT),3400,4000,,,,ocr,False,usable_ocr
Bhopal,17062025132836_CGHS Rates 2024- Bhopal.pdf,17,Operations for Hydrocele - Bilateral,8855,7700,,,,ocr,False,usable_ocr
Bhopal,17062025132836_CGHS Rates 2024- Bhopal.pdf,17,Operations for Varicocele Unilateral-Microsurgical,7975,6935,,,,ocr,False,usable_ocr
Bhopal,17062025132836_CGHS Rates 2024- Bhopal.pdf,17,ABO incompatible Transplantation,507150,441000,,,,ocr,False,usable_ocr
Bhopal,17062025132836_CGHS Rates 2024- Bhopal.pdf,17,eS wit ve Kidney Nephrectomy (Related),97750,185000,,,,ocr,False,usable_ocr
Bhopal,17062025132836_CGHS Rates 2024- Bhopal.pdf,17,Thread) Bi,197750,185000,,,,ocr,False,usable_ocr
Bhopal,17062025132836_CGHS Rates 2024- Bhopal.pdf,17,\Jugular Catheterization for Haemodialysis,1553,1350,,,,ocr,False,usable_ocr
Bhopal,17062025132836_CGHS Rates 2024- Bhopal.pdf,17,Single lumen Tugular Catheterization,1553,7350,,,,ocr,False,usable_ocr
Bhopal,17062025132836_CGHS Rates 2024- Bhopal.pdf,28,1380 ]FDG Whole body PET/CT Scan,11500,10000,,,,ocr,False,usable_ocr
Bhopal,17062025132836_CGHS Rates 2024- Bhopal.pdf,28,1381 {Brain I Heart FDG PET / CT Scan,11500,10000,,,,ocr,False,usable_ocr
Bhopal,17062025132836_CGHS Rates 2024- Bhopal.pdf,28,1382 _|Gallium-68 Peptide PET / CT imaging for Neuroendocrine Tumor,11500,10000,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,"545, Balloon coronary angioplasty /",83725,171150,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,° Pe fare Catheterization (CATH),13545,111510,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,2,a Permanent pacemaker implantation-,4,86550,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,3,22 fet —__Pesieheral ‘Angioplasty with VCD,5500,46750,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,3,2 pee ‘Angioplasty,155000,46750,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,3,a a es ultrasound (IVUS),,50000,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,3,entricular septal defect (VSD) closure,1109900,93415,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,3,Ea ie angiography,13225,11240,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,3,esa ‘AVI /TAVR Implant,1284000,1284000,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,6,9/Permanent pacemaker,36550,43000,,,,ocr,False,usable_ocr
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,7,Peripheral Angioplasty,46750,55500,,,,ocr,False,usable_ocr
