source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
7,1,348,Fibroptic examition of Larynx under LA,1725,1984,
7,1,349,Microlaryngeal Surgery,9315,10713,
7,1,350,Laryngofissure,15525,17854,
7,1,351,Tracheal Stenosis Excision,17802,20472,
7,1,,Head and neck cancer,,,
7,1,352,Excisional Biopsies,5175,5952,
7,1,353,Benign Tumour Excisions,9500,10925,
7,1,354,Temporal Bone subtotal resection,18630,21425,
7,1,355,Modified Radical Neck Dissection,22770,26185,
7,1,356,Carotid Body Excision,26000,29900,
7,1,357,Total Laryngectomy,35273,40564,
7,1,358,Flap Reconstructive Surgery,37260,42850,
7,1,359,Parapharyngeal Tumour Excision,35397,40747,
7,1,360,Other Major Surgery,21250,25000,
7,1,361,Other Minor Surgery,5000,5750,
7,1,,TREATMENT PROCEDURE BREAST,,,
7,1,362,Drainage of abscess,5400,6210,
7,1,363,Excision of lumps,6969,8014,
7,1,364,Local mastectomy-simple,12650,14548,
7,1,365,Radical mastectomy-formal or modified.,25875,29756,
7,1,366,Excision of mammary fistula,13973,16070,
7,1,367,Segmental resection of breast,14490,16664,
7,1,368,Other Major Surgery,25000,28750,
7,1,369,Other Minor Surgery,5000,5750,
7,1,,TREATMENT PROCEDURE GENERAL SURGERY,,,
7,1,370,Injury Of Superficial Soft Tissues,425,500,
7,1,371,Suturing of small wounds,1060,1250,01.02.2024
7,1,372,Secondary suture of wounds,3400,4000,01.02.2024
7,1,373,Debridement of wounds,1275,1500,01.02.2024
7,1,374,Removal Of Foreign Bodies- without C-ARM,1275,1500,01.02.2024
7,1,,Biopsies,,,
7,1,375,Excision of Cervical Lymph Node under LA,2635,3100,01.02.2024
7,1,376,Excision of Axillary Lymph Node under Gl Anaesthesia,6715,7900,01.02.2024
7,1,377,Excision of Inguinal Lymph Node under LA,2550,3000,01.02.2024
7,1,378,Excision Biopsy of Ulcers,1323,1522,
7,1,379,Excision Biopsy of Superficial Lumps,2898,3333,
8,1,380,Incision Biopsy of Growths/Ulcers,1470,1691,
8,1,381,Trucut Needle Biopsy (Including Needle),2975,3500,01.02.2024
8,1,382,Percutaneous Kidney Biopsy,1470,1691,
8,1,383,Marrow Biopsy (Open),1060,1219,
8,1,384,Muscle Biopsy,1470,1691,
8,1,385,Scalene Node Biopsy,1215,1398,
8,1,386,Excision of Sebaceous Cysts,1118,1278,
8,1,387,Excision of Superficial Lipoma,1739,2000,
8,1,388,Excision of Superficial Neurofibroma,2500,2875,
8,1,389,Excision of Dermoid Cysts,2050,2357,
8,1,390,Haemorrhoidectomy,25500,30000,01.02.2024
8,1,391,Stappler haemorrhoidectomy,37145,43700,01.02.2024
8,1,392,keloid excision,1150,1323,
8,1,393,Varicose vein Surgery- Trendelenburg operation with suturing or ligation,19550,23000,01.02.2024
8,1,,TREATMENT PROCEDURE OESOPHAGUS,,,
8,1,394,Atresia of Oesophagus and Tracheo Oesophageal Fistula,25875,29757,
8,1,395,Operations for Replacement of Oesophagus by Colon,25000,28750,
8,1,396,Oesophagectomy for Carcinoma Easophagus,25000,28750,
8,1,397,Oesophageal Intubation (Mausseau Barbin Tube),11500,13225,
8,1,398,Achalasia Cardia Transthoracic,13455,15474,
8,1,399,Achalasia Cardia Abdominal,12650,14548,
8,1,400,Oesophago Gastrectomy for mid 1/3 lesion,22045,25352,
8,1,401,Heller’s Operation,17775,20442,
8,1,402,Colon-Inter position or Replacement of Oesophagus,20286,23329,
8,1,403,Oesophago Gastrectomy – Lower Corringers procedure,19251,22139,
8,1,404,Other Major Surgery,27625,32500,
8,1,405,Other Minor Surgery,5000,5750,
8,1,,TREATMENT PROCEDURE ABDOMEN / GI SURGERY,,,
8,1,406,Gastroscopy,1552,1785,
8,1,407,Gastric & Duodenal Biopsy (Endoscopic),1950,2243,
8,1,408,Pyloromyotomy,2800,3220,
8,1,409,Gastrostomy,8625,9919,
8,1,410,Simple Closure of Perforated peptic Ulcer,9775,11241,
8,1,411,Vagotomy Pyleroplasty / Gastro Jejunostomy,13800,15870,
8,1,412,Duodenojejunostomy,18950,21793,
8,1,413,Partial/Subtotal Gastrectomy for Carcinoma,20700,23805,
8,1,414,Partial/Subtotal Gastrectomy for Ulcer,20182,23210,
8,1,415,Operation for Bleeding Peptic Ulcer,18878,21710,
8,1,416,Operation for Gastrojejunal Ulcer,17802,20472,
8,1,417,Total Gastrectomy for Cancer,20131,23150,
8,1,418,Highly Selective Vagotomy,16767,19282,
8,1,419,Selective Vagotomy & Drainage,16767,19282,
8,1,420,Congenital Diaphragmatic Hernia,34000,40000,01.02.2024
8,1,421,Hiatus Hernia Repair- Abdominal,28050,33000,01.02.2024
8,1,422,Hiatus Hernia Repair- Transthoracic,28050,33000,01.02.2024
8,1,423,Exploratory Laparotomy (open),21250,25000,01.02.2024
8,1,424,Epigastric Hernia Repair,21250,25000,01.02.2024
8,1,425,Umbilical Hernia Repair,10250,11785,
8,1,426,Ventral /incisional Hernia Repair,9265,10650,
8,1,427,Inguinal Hernia Herniorraphy,22100,26000,01.02.2024
8,1,428,Inguinal Hernia - Hernioplasty,27200,32000,01.02.2024
8,1,429,Femoral Hernia Repair,27200,32000,01.02.2024
8,1,430,Rare Hernias Repair (Spigalion Obturator Lumbar Sciatic),18975,21821,
8,1,431,Splenectomy - For Trauma,17078,19639,
8,1,432,Splenectomy - For Hypersplenism,14490,16664,
8,1,433,Splenorenal Anastomosis,20700,23805,
8,1,434,Portocaval Anastomosis,28750,33063,
9,1,435,Direct Operation on Oesophagus for Portal Hypertension,20597,23686,
9,1,436,Mesentericocaval Anastomosis,25450,29268,
9,1,437,Warren Shunt,25875,29757,
9,1,438,Pancerato Duodenectomy,19562,22496,
9,1,439,By Pass Procedure for Inoperable Carcinoma of Pancreas,20700,23805,
9,1,440,Cystojejunostomy or Cystogastrostomy,14490,16664,
9,1,441,Cholecystectomy,20400,24000,01.02.2024
9,1,442,Cholecystectomy & Exploration of CBD,28050,33000,01.02.2024
9,1,443,Repair of CBD,13600,16000,
