Sno,Hospital Id,Hospital Name,State,District,,,,Hospital Contact,Specialities Selected,Hospital Type,Empanelment Type,Submitted Date,Status Updated Date,Application Status,OnBoarded For Convergence Scheme,Upgraded Specialities,Current Specialities
61,HOSP36G132901,Govt.CD and TB hospital,TELANGANA,WARANGAL URBAN,,,,9849903046,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,-NA-
62,HOSP36G132902,Area hospital - Siricilla,TELANGANA,RAJANNA SIRCILLA,,,,8008553150,"M1,M1,M2,S8,M1,M7,M1,S7,S1,S2,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, S1, S2, S4, S5, S6"
63,HOSP36G132903,Govt.Regional Eye Hospital,TELANGANA,WARANGAL URBAN,,,,9849248504,"S3,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S3
64,HOSP36G136356,CHC- Bachannapet,TELANGANA,JANGOAN,,,,NA,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9"
65,HOSP36G136475,Community Health Center-Khanapur,TELANGANA,Nirmal,,,,NA,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9"
66,HOSP36G136476,"Area hospital,Narayankhed",TELANGANA,SANGAREDDY,,,,NA,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,-NA-
67,HOSP36G136477,CHC -  BOATH,TELANGANA,ADILABAD,,,,NA,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9"
68,HOSP36G136478,CHC -  Metpally,TELANGANA,Jagitial,,,,NA,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9"
69,HOSP36G136479,CHC - Kadangal,TELANGANA,MEDCHAL MALKAJGIRI,,,,NA,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9"
70,HOSP36G136480,CHC - Kodad,TELANGANA,SURYAPET,,,,NA,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9"
71,HOSP36G136481,CHC - Korutla,TELANGANA,Jagitial,,,,NA,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9"
